district,winner_f,winner_m,mdc_wins,zanu_wins,total_valid_votes,total_votes,rejected_votes
Beitbridge,1,1,0,2,24279,25198,919
Bikita,0,3,0,3,45417,46769,1352
Bindura,0,2,0,2,51363,51961,598
Binga,0,2,2,0,39349,41277,1928
Bubi,0,1,0,1,20053,21050,997
Buhera,0,4,0,4,70229,71930,1701
Bulawayo,2,10,11,0,131995,133695,1700
Bulilima,0,2,0,2,22512,23199,687
Chegutu,0,4,0,4,72110,73348,1238
Chikomba,0,3,0,3,44183,45089,906
Chimanimani,0,2,0,2,36121,37215,1094
Chipinge,0,5,1,4,73059,75407,2348
Chiredzi,0,4,0,4,76518,78016,1504
Chirumanzu,0,2,0,2,35484,36230,746
Chivi,0,3,0,3,47393,47571,980
Gokwe North,1,3,0,4,63132,64115,1479
Gokwe South,2,3,0,5,75131,76889,1758
Goromonzi,2,1,0,3,66994,67983,989
Guruve,0,2,0,2,46280,47052,772
Gutu,1,4,0,5,63209,64353,1144
Gwanda,0,2,0,2,24246,24594,348
Gwanda Rural,0,1,0,1,10475,10669,194
Gweru,0,4,2,2,64598,65622,1024
Harare,4,25,23,6,441619,448702,7083
Hurungwe,1,4,0,5,71558,72646,2029
Hwange,0,3,2,1,42855,44010,1155
Insiza,0,2,0,2,24315,24919,604
Kadoma,0,5,0,5,95126,97259,2133
Kariba,0,1,0,1,22438,23079,641
Kwekwe,0,5,1,4,74170,76098,1928
Lupane,1,1,0,2,23653,24312,659
Makonde,0,3,1,2,56349,57173,824
Makoni,1,4,0,5,75725,77418,1693
Mangwe,0,1,0,1,11848,12201,353
Marondera,0,3,0,3,48175,48860,685
Masvingo,0,5,0,5,76760,78460,1700
Matobo,0,2,0,2,22320,22835,515
Mazowe,1,3,0,4,63383,64729,1346
Mberengwa,1,3,0,4,53496,55075,1163
Mbire,0,1,0,1,23041,23614,573
Mt Darwin,1,2,0,4,86608,87857,1249
Mudzi,1,2,0,3,49797,50368,893
Murehwa,0,3,0,3,55967,57079,1112
Mutare,1,4,2,3,108759,110790,2031
Mutasa,1,2,1,2,55529,56549,1020
Mutoko,1,2,0,3,58356,59263,910
Muzarabani,0,2,0,2,39421,39895,474
Mwenezi,0,2,0,2,45343,46127,784
Nkayi,1,1,1,1,24873,25748,875
Nyanga,0,2,0,2,37784,38628,844
Rushinga,0,1,0,1,25480,25689,302
Seke,0,1,0,1,21160,21519,359
Shamva,0,2,0,2,45387,46159,772
Shurugwi,0,2,0,2,32642,33328,686
Tsholotsho,1,1,1,1,22052,22835,783
Umguza,0,1,0,1,23478,24245,767
UMP,0,2,0,2,46147,47376,1229
Umzingwane,0,1,0,1,16082,16468,386
Wedza,0,2,0,2,28116,28550,434
Zaka,0,4,0,4,52560,53845,1285
Zvimba,0,4,0,3,49659,50551,862
Zvishavane,0,2,0,2,34271,34885,614
