Province;ZAPU;ZANU_PF;ZDP;MDC;MDC_T;rejected_votes;unaccounted_ballot;total_votes;total_valid_votes;ZAPU_per;ZANU_PF_per;ZDP_per;MDC_per;MDC_T_per
Bulawayo;1926;31773;159;9356;89207;1277;4;133698;132421;1,440560068;23,7647534;0,118924741;6,997860851;66,72276324
Binga;542;11324;389;2854;25620;2092;0;42821;40729;1,265734102;26,44496859;0,908432778;6,664954111;59,83045702
Hwange;302;14137;147;1836;25326;950;0;42698;41748;0,707293082;33,10927912;0,344278421;4,299967212;59,3142536
Nkayi;494;8896;206;2060;13270;822;0;25748;24926;1,918595619;34,55025633;0,800062141;8,000621407;51,53798353
Gwanda Rural;127;3926;93;1354;4990;177;0;10667;10490;1,190587794;36,80509984;0,871847755;12,69335333;46,77978813
Harare;843;172163;361;7846;261925;6167;19;449305;443138;0,187623107;38,31762389;0,080346313;1,746252546;58,29558986
Tsholotsho;625;9346;244;2123;9864;642;0;22844;22202;2,73594817;40,91227456;1,068114166;9,293468745;43,1798284
Mangwe;315;5049;181;1499;4832;327;7;12203;11876;2,581332459;41,3750717;1,483241826;12,28386462;39,59682045
Lupane;385;10329;215;2191;10691;560;0;24371;23811;1,57974642;42,38233967;0,882196053;8,990193262;43,86771162
Matobo;533;9865;157;1509;9778;477;0;22319;21842;2,388099825;44,20000896;0,703436534;6,761055603;43,81020655
Bulilima;357;10472;217;1953;9551;640;0;23190;22550;1,539456662;45,15739543;0,935748167;8,421733506;41,18585597
Mutasa;309;25853;156;1587;27542;1110;0;56557;55447;0,546351468;45,71140619;0,275827926;2,806018707;48,69777393
Gweru;296;29865;159;1889;31697;810;4;64716;63906;0,457383027;46,14778416;0,245688856;2,918907225;48,97861425
Umzingwane;286;7899;89;1102;7228;376;0;16980;16604;1,684334511;46,51943463;0,524146054;6,489988221;42,56772674
Gwanda;405;12472;126;2072;9225;293;0;24593;24300;1,646810068;50,7136177;0,51234091;8,425161631;37,51067377
Kwekwe;538;42568;224;2216;35042;1812;0;82400;80585;0,652912621;51,66019417;0,27184466;2,689320388;42,52669903
Chipinge;664;39414;422;3265;29364;2287;0;75416;73129;0,880449772;52,26211944;0,559562957;4,329320038;38,93603479
Mutare;679;60063;263;2241;45642;1883;2;110771;108888;0,612976321;54,22267561;0,237426763;2,023092687;41,20392522
Nyanga;257;21545;130;1206;14439;1048;0;38625;37577;0,665372168;55,77993528;0,336569579;3,122330097;37,38252427
Bubi;276;10079;81;841;5761;649;11;17687;17038;1,56046814;56,98535648;0,457963476;4,754904732;32,5719455
Zvishavane;156;20084;66;715;13206;658;4;34885;34227;0,447183603;57,57202236;0,189193063;2,049591515;37,85581195
Kariba;127;13795;98;403;8880;627;0;23930;23303;0,530714584;57,64730464;0,409527789;1,684078562;37,10823234
Goromonzi;226;39318;116;979;26486;936;164;68061;67125;0,332055068;57,76876625;0,170435345;1,438415539;38,91509087
Insiza;424;14473;147;2530;6837;511;0;24922;24411;1,701308081;58,07318835;0,589840302;10,15167322;27,43359281
Buhera;563;41799;213;2092;25215;2040;0;71922;69882;0,78279247;58,11712689;0,296154167;2,908706654;35,05881371
Chegutu;245;44570;134;1524;28083;1216;4;75772;74556;0,323338436;58,82120044;0,176846328;2,011297049;37,0625033
Makoni;601;46603;228;1892;26402;1701;0;77427;75726;0,776215015;60,18959794;0,294470921;2,443592029;34,09921604
Masvingo;537;48036;215;1576;26499;1726;1;78589;76863;0,683301734;61,12305793;0,273575182;2,005369708;33,71845933
Chimanimani;301;22749;102;1150;11948;964;0;37214;36250;0,808835385;61,13021981;0,274090396;3,090234858;32,10619659
Bikita;398;28640;263;1802;14196;1431;1;46730;45299;0,851701263;61,28825166;0,562807618;3,856195164;30,37877167
Umguza;410;17096;70;1098;8064;775;2;27513;26738;1,490204631;62,13789845;0,254425181;3,990840693;29,30978083
Seke;172;16283;62;507;8486;360;5;25870;25510;0,664862775;62,94163123;0,239659838;1,959798995;32,80247391
Zaka;622;35067;232;1706;14721;1503;4;53851;52348;1,155038904;65,1185679;0,430818369;3,168000594;27,33653971
Gokwe South;713;50231;524;2332;21149;2038;0;76987;74949;0,926130386;65,24608051;0,680634393;3,029082832;27,47087171
Marondera;226;34337;98;804;16305;699;8;52469;51770;0,430730527;65,44245173;0,186776954;1,532333378;31,0754922
Gutu;571;42834;230;1924;17610;1284;0;64453;63169;0,88591687;66,45772889;0,356849177;2,985120941;27,32223481
Shurugwi;189;22500;67;582;9261;784;0;33383;32599;0,566156427;67,39957463;0,200700956;1,743402331;27,74166492
Beitbridge;329;17024;156;707;6192;791;0;25199;24408;1,305607365;67,55823644;0,619072185;2,805666892;24,57240367
Chivi;526;31640;180;1093;12230;1102;0;46771;45669;1,124628509;67,64875671;0,384853862;2,336918176;26,14868188
Chikomba;274;27735;78;1126;10702;752;2;40667;39915;0,673764969;68,20026065;0,191801707;2,768829764;26,31617774
Chirumanzu;134;20837;83;574;7574;683;7;29885;29202;0,448385478;69,72394178;0,277731303;1,920696001;25,34381797
Bindura;222;37261;57;587;13112;715;5;51954;51239;0,427301074;71,71921315;0,109712438;1,129845633;25,23771028
Gokwe North;602;46383;280;1587;13967;1780;1;64599;62819;0,931902971;71,80142107;0,433443242;2,456694376;21,62107773
Kadoma;396;69896;148;1011;23413;2304;0;97168;94864;0,407541577;71,93314671;0,152313519;1,040465997;24,0953812
Hurungwe;637;53718;264;1410;15761;1744;2;73534;71790;0,866265945;73,05192156;0,359017597;1,917480349;21,43362254
Makonde;335;41952;116;544;13518;805;0;57270;56465;0,58494849;73,25301205;0,202549328;0,949886503;23,60398114
Mazowe;482;48115;143;958;13778;1300;0;64776;63476;0,744102754;74,27905397;0,220760776;1,478942818;21,27022354
Wedza;195;18635;60;574;5029;362;0;24855;24493;0,784550392;74,97485415;0,241400121;2,309394488;20,23335345
Chiredzi;716;58651;303;1277;15506;1566;0;78019;76453;0,91772517;75,17527782;0,388366936;1,636780784;19,87464592
Murehwa;319;43937;148;1074;10618;981;1;57077;56096;0,558894125;76,97846768;0,259298842;1,881668623;18,60293989
Mberengwa;520;42325;168;1141;9314;1260;0;54728;53468;0,950153486;77,33701213;0,306972665;2,084856015;17,01871071
Zvimba;337;54128;135;775;11899;1055;12;68329;67274;0,493202008;79,21673082;0,197573505;1,134218267;17,41427505
Mbire;291;21237;79;434;3340;786;0;26167;25381;1,112087744;81,15947568;0,301906982;1,658577598;12,76416861
Guruve;331;38234;93;523;4476;742;0;44399;43657;0,745512286;86,11455213;0,209464177;1,177954458;10,08130814
Mutoko;266;51481;73;483;6453;1015;3;59771;58756;0,445031872;86,13039768;0,122132807;0,808084188;10,79620552
Mwenezi;485;40938;92;500;4150;1192;0;47357;46165;1,024135819;86,44550964;0,194269063;1,055810123;8,763224022
Mudzi;278;44696;101;476;4212;928;2;50691;49763;0,548420824;88,17344302;0,199246415;0,939022706;8,309167308
Shamva;180;40854;57;290;3883;893;1;46157;45264;0,389973352;88,51095175;0,123491561;0,6282904;8,412591806
Mt Darwin;352;76209;104;449;4816;1271;1;83201;81930;0,423071838;91,59625485;0,124998498;0,539656975;5,788391966
Rushinga;121;28298;37;118;1413;450;1;30437;29987;0,397542465;92,97236916;0,121562572;0,38768604;4,642376055
Muzarabani;203;37247;45;166;1715;521;4;39897;39376;0,508810186;93,35789658;0,112790435;0,416071384;4,298568815
UMP;256;44297;59;208;1874;698;246;47392;46694;0,540175557;93,46936192;0,124493585;0,43889264;3,954253883
