localAuth_wardNumber	ZAPU	ZANU_PF	ZDP	MDC	MDC_T	rejected_votes	unaccounted_ballot	total_votes	total_valid_votes
1**Beitbridge RDC	10	861	10	24	101	67	0	1073	1006
1**Beitbridge Town Council	7	515	0	23	431	15	0	991	976
1**Bikita RDC	13	781	5	19	250	39	0	1107	1068
1**Bindura Municipality	2	1044	0	9	906	17	0	1978	1961
1**Bindura RDC	3	2287	1	0	27	18	2	2336	2318
1**Binga RDC	15	512	5	75	457	64	0	1128	1064
1**Bubi RDC	9	901	0	20	118	34	0	1082	1048
1**Buhera RDC	12	999	3	66	600	26	0	1706	1680
1**Bulawayo City Council	24	743	0	179	1369	12	0	2327	2315
1**Bulilima RDC	14	427	13	56	523	25	0	1058	1033
1**Chaminuka RDC	5	1432	2	23	141	17	0	1620	1603
1**Chegutu Municipality	1	119	2	2	210	4	0	338	334
1**Chegutu RDC	8	1258	5	63	589	27	0	1950	1923
1**Chikomba RDC	11	1111	3	5	118	35	0	1283	1248
1**Chimanimani RDC	10	1501	2	6	222	29	0	1770	1741
1**Chinhoyi Municipality	0	232	0	8	303	8	0	551	543
1**Chipinge RDC	10	1429	2	55	897	48	0	2441	2393
1**Chipinge Town Council	4	309	0	6	415	10	0	744	734
1**Chiredzi RDC	7	1087	6	37	399	26	0	1562	1536
1**Chitungwiza Municipality	0	786	3	40	946	23	0	1798	1775
1**Chivi RDC	6	1035	7	46	569	44	0	1707	1663
1**Epworth Local Board	7	2357	4	60	2058	85	0	4571	4486
1**Gokwe North RDC	12	484	6	63	573	52	0	1190	1138
1**Gokwe South RDC	38	1931	14	75	502	125	0	2685	2560
1**Gokwe Town Council	0	242	1	3	238	5	0	489	484
1**Goromonzi RDC	21	1342	9	63	1227	59	0	2721	2662
1**Guruve RDC	16	3434	4	10	85	43	0	3592	3549
1**Gutu RDC	17	3762	1	13	173	31	0	3997	3966
1**Gwanda Municipality	2	284	0	23	259	4	0	572	568
1**Gwanda R.D.C	11	414	9	124	655	19	0	1232	1213
1**Gweru Municipality	0	453	3	27	934	10	0	1427	1417
1**Harare Municipality	74	19164	31	422	9519	624	0	29834	29210
1**Hurungwe RDC	19	2367	9	17	271	60	0	2743	2683
1**Hwange Local Board	0	145	0	9	338	15	0	507	492
1**Hwange RDC	8	1106	3	26	133	40	0	1316	1276
1**Insiza RDC	15	362	13	161	420	15	0	986	971
1**Kadoma City Council	5	789	0	12	566	40	0	1412	1372
1**Kariba Municipality	1	707	0	18	969	37	0	1732	1695
1**Karoi Town Council	1	326	1	9	247	14	0	598	584
1**Kusile RDC	6	267	8	72	252	9	0	614	605
1**Kwekwe Municipality	3	980	4	43	1578	23	0	2631	2605
1**Makonde RDC	15	2415	1	2	40	28	0	2501	2473
1**Makoni RDC	13	871	9	26	311	26	0	1256	1230
1**Mangwe RDC	15	415	11	50	327	8	0	826	818
1**Manyame RDC	11	1272	3	69	1334	29	4	2718	2689
1**Marondera Municipality	2	984	2	20	709	12	1	1729	1717
1**Marondera RDC	6	1458	2	6	221	16	1	1709	1693
1**Masvingo Municipality	3	791	1	22	754	31	0	1602	1571
1**Masvingo RDC	10	806	8	73	618	44	0	1559	1515
1**Matobo RDC	20	373	11	70	450	17	0	941	924
1**Mazowe RDC	20	974	10	26	197	36	0	1263	1227
1**Mberengwa RDC	11	1208	2	15	116	25	0	1377	1352
1**Mbire RDC	12	690	5	29	169	20	0	925	905
1**Mhondoro-Ngezi RDC	6	986	2	20	447	33	0	1494	1461
1**Mudzi RDC	11	2089	2	28	509	28	0	2667	2639
1**Murewa RDC	13	1173	8	25	223	24	0	1466	1442
1**Mutare Municipality	4	673	3	47	1832	23	0	2582	2559
1**Mutare RDC	20	2624	4	37	544	92	0	3321	3229
1**Mutasa RDC	14	926	9	65	800	75	0	1889	1814
1**Mutoko RDC	15	1536	0	8	147	15	0	1721	1706
1**Muzarabani RDC	9	1982	1	12	93	39	0	2136	2097
1**Mwenezi RDC	12	793	1	51	313	59	0	1229	1170
1**Nkayi RDC	19	413	8	119	412	41	0	1012	971
1**Norton Town Council	2	346	1	279	468	14	0	1110	1096
1**Nyaminyami RDC	1	323	0	6	118	2	0	450	448
1**Nyanga RDC	14	750	2	32	413	51	0	1262	1211
1**Pfura RDC	5	1080	1	4	59	38	0	1187	1149
1**Plumtree Town Council	9	335	1	55	467	22	0	889	867
1**Redcliff Municipality	1	228	1	20	495	6	0	751	745
1**Runde RDC	3	430	0	20	161	7	0	621	614
1**Rusape Town Council	2	400	1	16	521	12	0	952	940
1**Rushinga RDC	3	1018	1	3	17	27	0	1069	1042
1**Ruwa Local Board	2	519	0	13	1105	9	0	1648	1639
1**Sanyati RDC	16	2945	3	7	191	116	0	3278	3162
1**Shurugwi Town Council	0	170	0	2	143	8	0	323	315
1**Takawira RDC	12	705	3	37	450	29	0	1236	1207
1**Tongogara RDC	16	1051	0	5	165	47	0	1284	1237
1**Tsholotsho RDC	10	315	7	120	393	22	0	867	845
1**Umguza RDC	27	589	3	84	472	30	0	1205	1175
1**Umzingwane RDC	17	546	6	41	334	14	0	958	944
1**Victoria Falls Municipality	3	110	1	8	217	0	0	339	339
1**Vungu RDC	29	1000	7	194	114	12	0	1356	1344
1**Wedza RDC	10	1797	4	8	79	26	0	1924	1898
1**Zaka RDC	12	738	2	29	345	55	0	1181	1126
1**Zibagwe RDC	5	1958	2	2	57	57	0	2081	2024
1**Zvataida RDC	14	2251	3	9	63	17	0	2357	2340
1**Zvimba RDC	15	1388	4	36	295	28	0	1766	1738
