constituency_name;registration_number
Beitbridge East;32243
Beitbridge West;15866
Bikita East;22662
Bikita South;20145
Bikita West;24768
Bindura North;45906
Bindura South;33421
Binga North;32479
Binga South;35397
Bubi;31857
Budiriro;47911
Buhera Central;26272
Buhera North;19399
Buhera South;27037
Buhera West;25020
Bulawayo Central;20854
Bulawayo East;19805
Bulawayo South;15056
Bulilima East;16884
Bulilima West;15240
Chakari;36090
Chegutu East;27143
Chegutu West;27396
Chikomba Central;16474
Chikomba East;14103
Chikomba West;29250
Chimanimani East;29988
Chimanimani West;22197
Chinhoyi;32338
Chipinge Central;28731
Chipinge East;21218
Chipinge South;24415
Chipinge West;18626
Chiredzi East;16828
Chiredzi North;42558
Chiredzi South;15143
Chiredzi West;36531
Chirumanzu;18585
Chirumanzu/Zibagwe;30598
Chitungwiza North;25856
Chitungwiza South;32874
Chivi Central;24013
Chivi North;18527
Chivi South;23091
Chiwundura;40871
Dangamvura/Chikanga;59277
Dzivarasekwa;30813
Emakhandeni-Entumba;17291
Epworth;70599
Glen Norah;22099
Glenview North;16207
Glenview South;17691
Gokwe Central;28454
Gokwe Kana;22596
Gokwe Mapfungautsi;29838
Gokwe Sasame;27473
Gokwe Sengwa;20899
Gokwe-Chireya;26471
Gokwe-Gumunyu;20678
Gokwe-Kabuyuni;26467
Gokwe-Nembudziya;24696
Goromonzi North;28702
Goromonzi South;69379
Goromonzi West;37436
Guruve North;31479
Guruve South;30223
Gutu Central;19799
Gutu East;15548
Gutu North;13847
Gutu South;17038
Gutu West;20933
Gwanda Central;25621
Gwanda North;15627
Gwanda South;14564
Gweru Urban;33672
Harare Central;20803
Harare East;33174
Harare North;34236
Harare South;74239
Harare West;33251
Hatfield;32988
Headlands;26763
Highfield East;22372
Highfield West;18071
Hurungwe Central;28843
Hurungwe East;31084
Hurungwe North;23115
Hurungwe West;23717
Hwange Central;26919
Hwange East;21060
Hwange West;31069
Insiza North;25015
Insiza South;13725
Kadoma Central;33362
Kambuzuma;20888
Kariba;30812
Kuwadzana;36590
Kuwadzana East;23562
Kwekwe Central;23006
Lobengula;16208
Lupane East;19472
Lupane West;16859
Luveve;32948
Mabvuku-Tafara;28931
Magunje;22162
Magwegwe;13404
Makokoba;16849
Makonde;28796
Makoni Central;24538
Makoni North;21001
Makoni South;24260
Makoni West;17595
Mangwe;17772
Maramba Pfungwe;27571
Marondera Central;26625
Marondera East;26679
Marondera West;16943
Masvingo Central;17883
Masvingo North;22196
Masvingo South;19668
Masvingo Urban;39491
Masvingo West;18979
Matobo North;17935
Matobo South;14692
Mazowe Central;21449
Mazowe North;23518
Mazowe South;31495
Mazowe West;24434
Mbare;27733
Mberengwa East;16270
Mberengwa North;25046
Mberengwa South;18624
Mberengwa West;14937
Mbire;28254
Mbizo;27847
Mhangura;34138
Mhondoro Mubaira;22123
Mhondoro-Ngezi;26011
Mkoba;34304
Mount Pleasant;22000
Mt Darwin East;27544
Mt Darwin North;22340
Mt Darwin South;28744
Mt Darwin West;28057
Mudzi North;24494
Mudzi South;22262
Mudzi West;17363
Mufakose;17361
Murewa North;26883
Murewa South;27334
Murewa West;26032
Musikavanhu;18286
Mutare Central;21372
Mutare North;36211
Mutare South;35274
Mutare West;33608
Mutasa Central;25521
Mutasa North;28973
Mutasa South;32333
Mutoko East;19342
Mutoko North;23012
Mutoko South;28829
Muzarabani North;20688
Muzarabani South;28230
Muzvezve;39734
Mwenezi East;32247
Mwenezi West;33752
Nkayi North;20465
Nkayi South;23710
Nketa;27000
Nkulumane;19899
Norton;30077
Nyanga North;26661
Nyanga South;28379
Pelandaba-Mpopoma;15671
Pumula;23414
Redcliff;28398
Rushinga;29423
Sanyati;20341
Seke;42599
Shamva North;26080
Shamva South;33851
Shurugwi North;31977
Shurugwi South;21351
Silobela;27740
Southerton;16359
St Marys;26732
Sunningdale;17789
Tsholotsho North;17314
Tsholotsho South;18570
Umguza;31680
Umzingwane;24554
Uzumba;26480
Vungu;24995
Warren Park;29488
Wedza North;20338
Wedza South;13799
Zaka Central;22976
Zaka East;15291
Zaka North;21986
Zaka West;15482
Zengeza East;24408
Zengeza West;24793
Zhombe;27145
Zvimba East;37064
Zvimba North;28269
Zvimba South;24309
Zvimba West;18945
Zvishavane Ngezi;32955
Zvishavane Runde;21851
