district_name;registration_number
Beitbridge;48109
Bikita;67575
Bindura;79327
Binga;67876
Bubi;27319
Buhera;97728
Bulawayo;238399
Bulilima;24596
Chegutu;106739
Chikomba;54023
Chimanimani;52185
Chipinge;111276
Chiredzi;111060
Chirumanzu;39406
Chitungwiza;134663
Chivi;63682
Gokwe North;98312
Gokwe South;129260
Goromonzi;135517
Guruve;58364
Gutu;87165
Gwanda;55812
Gweru;133842
Harare;715155
Hurungwe;128921
Hwange;79048
Insiza;38740
Kariba;30812
Kwekwe;143913
Lupane;36331
Makonde;95272
Makoni;114157
Mangwe;25300
Marondera;74621
Masvingo;118217
Matobo;31827
Mazowe;100896
Mberengwa;74877
Mbire;31592
Mhondoro-Ngezi;53062
Mt Darwin;99888
Mudzi;64119
Murewa;80249
Mutare;203983
Mutasa;68586
Mutoko;71183
Muzarabani;48918
Mwenezi;67948
Nkayi;44175
Nyanga;55040
Rushinga;36220
Sanyati;102476
Seke;48403
Shamva;59931
Shurugwi;53328
Tsholotsho;35884
U.M.P.;54051
Umguza;36218
Umzingwane;25354
Wedza;29763
Zaka;75735
Zvimba;108587
Zvishavane;54806
