local_authority_name;registration_number
Beitbridge RDC;29797
Beitbridge Town Council;18312
Bikita RDC;67575
Bindura Municipality;21484
Bindura RDC;57843
Binga RDC;67876
Bubi RDC;27319
Buhera RDC;97728
Bulawayo Municipality;238399
Bulilima RDC;24596
Chaminuka RDC;59931
Chegutu Municipality;19935
Chegutu RDC;63305
Chikomba RDC;54023
Chimanimani RDC;52185
Chinhoyi Municipality;32338
Chipinge RDC;99460
Chipinge Town Council;11816
Chiredzi RDC;96235
Chiredzi Town Council;14825
Chitungwiza Municipality;134663
Chivi RDC;63682
Epworth Local Board;70599
Gokwe North RDC;98312
Gokwe South RDC;118564
Gokwe Town Council;10696
Goromonzi RDC;103672
Guruve RDC;58364
Gutu RDC;87165
Gwanda Municipality;11099
Gwanda RDC;44713
Gweru Municipality;84636
Harare Municipality;644556
Hurungwe RDC;117229
Hwange Local Board;21987
Hwange RDC;36555
Insiza RDC;38740
Kadoma Municipality;46045
Kariba Municipality;11948
Karoi Town Council;11692
Kusile RDC;36331
Kwekwe Municipality;50853
Makonde RDC;62934
Makoni RDC;101200
Mangwe RDC;19836
Manyame RDC;48403
Marondera Municipality;26625
Marondera RDC;47996
Masvingo Municipality;39491
Masvingo RDC;78726
Matobo RDC;31827
Mazowe RDC;100896
Mberengwa RDC;74877
Mbire RDC;31592
Mhondoro-Ngezi RDC;53062
Mudzi RDC;64119
Murewa RDC;80249
Mutare Municipality;98890
Mutare RDC;105093
Mutasa RDC;68586
Mutoko RDC;71183
Muzarabani RDC;48918
Mwenezi RDC;67948
Nkayi RDC;44175
Norton Town council;23499
Nyaminyami RDC;18864
Nyanga RDC;55040
Pfura RDC;99888
Plumtre Town Council;5464
Redcliff Municipality;16351
Runde RDC;31903
Rusape Town Council;12957
Rushinga RDC;36220
Ruwa Local Board;31845
Sanyati RDC;56431
Shurugwi Town Council;11646
Takawira RDC;39406
Tongogara RDC;41682
Tsholotsho RDC;35884
Umguza RDC;36218
Umzingwane RDC;25354
Victoria Falls Municipality;20506
Vungu RDC;49206
Wedza RDC;29763
Zaka RDC;75735
Zibagwe RDC;76709
Zvataida RDC;54051
Zvimba RDC;108587
Zvishavane Town Council;22903
